valid_face,landmark_distance_sum,dst_frame_name,src_frame_name,result_frame_name
True,1.1807538624958214,DeepFaceLab_Linux/workspace/data_dst/aligned/00025_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/04191_0.jpg,frame_0025.jpg
True,1.4229079534750266,DeepFaceLab_Linux/workspace/data_dst/aligned/04073_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/08707_0.jpg,frame_4073.jpg
True,1.5014716418644056,DeepFaceLab_Linux/workspace/data_dst/aligned/03811_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/01939_0.jpg,frame_3811.jpg
True,2.559254414502277,DeepFaceLab_Linux/workspace/data_dst/aligned/02602_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/07590_0.jpg,frame_2602.jpg
True,0.9299562215946163,DeepFaceLab_Linux/workspace/data_dst/aligned/03725_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/00480_0.jpg,frame_3725.jpg
True,0.965391118491237,DeepFaceLab_Linux/workspace/data_dst/aligned/03065_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/01323_0.jpg,frame_3065.jpg
True,1.840605154374189,DeepFaceLab_Linux/workspace/data_dst/aligned/04510_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/02776_0.jpg,frame_4510.jpg
True,1.6546796903885432,DeepFaceLab_Linux/workspace/data_dst/aligned/01589_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/00661_0.jpg,frame_1589.jpg
False,19.639401858170054,DeepFaceLab_Linux/workspace/data_dst/aligned/02304_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/04400_0.jpg,frame_2304.jpg
True,2.107234629238586,DeepFaceLab_Linux/workspace/data_dst/aligned/01346_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/00652_0.jpg,frame_1346.jpg
False,-1,DeepFaceLab_Linux/workspace/data_dst/01758.png,,frame_/017.jpg
True,4.791450977425242,DeepFaceLab_Linux/workspace/data_dst/aligned/03435_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/01501_0.jpg,frame_3435.jpg
True,1.4050982464645052,DeepFaceLab_Linux/workspace/data_dst/aligned/00179_0.jpg,DeepFaceLab_Linux/workspace/data_src/aligned/01227_0.jpg,frame_0179.jpg
